blue	כחול	adjective, color	
white	לבן	adjective, color
red	אדום	adjective, color
black	שחור	adjective, color
yellow	צהוב	adjective, color
green	ירוק	adjective, color
pink	ורוד	adjective, color
orange	כתום	adjective, color
brown	חום	adjective, color
gray	אפור	adjective, color
grey	אפור	adjective, color
